product,開発名,model_cd,初期費用合計,max_ppm
AAC4,Degas-eMLK,C3070,,81
AAC3,Degas-eMLK,C3070,,81
ACC2,Rosewood,C4065,,81
A9JU,SymphonyM,PRESS6120,9672850,120
A799,Symphony3M,PRO1100,,
A92Y,Chagall-MLK,C6085,,85
A9VE,Degas-eMLK,C3080,,81
AC58,Rosewood,C4070,,81
AC57,Rosewood,C4080,,81
A92W,Chagall-MLK,C6100,,100
A9JT,SymphonyM,PRESS6136,11542850,136
A9CU,Degas-e,C2060,,61
A85E,Degas-e,C2060,,61
A50V,Degas,C1060,,61
ADA4,Rosewood,C4065,,81
AAC5,Degas-eMLKPV,C83HC,,81
A85C,Degas-e,C2070,,71
A5VM,Degas,C1060,,61
AC4E,Degas-eMLK,C3070,,81
A5AX,Chagall,C1085,,85
AC0C,Cypress,C14000,51125800,140
AC0C,Cypress,C12000,42325800,120
A50U,Degas,C1070,,71
AC0D,Cypress,C12000,42325800,120
AC0D,Cypress,C14000,51125800,140
AC3V,(要確認),C73HC,,
ADF2,Symphony3Me,Print2100,,
A7V0,(要確認),C71HC,,71
A9JW,SymphonyM,PRESS6136,11542850,136
A9JW,SymphonyM,PRESS6272P,,
AAK7,Degas-eMLKR2R,LABEL230,,
A9VP,Maple1,C7100,21202100,110
A9VP,Maple1,C7090,,
A5AW,Chagall,C1100,,100
ACW3,Maple2,C7090,,
AAC2,Degas-eMLK,C3080,,81
A85D,Degas-e,C2070,,71
A57P,Degas,C1070,,71
A7X5,(要確認),C71CF,,
AD7E,CypressR2R,AL400,,
AE1M,SymphonyMe,PRESS7120,10151500,120
AE1K,SymphonyMe,PRESS7136,12114800,136
AE1N,SymphonyMe,PRESS7136,12114800,136
AE87,Rosewood,C4080,,81
